English words,French words,Frequency
gower,gower,1
grace,la grâce,1
grant,subvention,1
grave,la tombe,1
great,génial,20
green,vert,4
greet,saluer,2
grief,douleur,11
grieve,pleurer,11
gross,brut,1
ground,sol,3
grown,grandi,2
guard,garde,3
guess,devine,2
guilty,coupable,1
habit,habitude,1
hands,mains,1
hanging,pendaison,1
hangs,bloque,1
happiness,bonheur,1
happy,heureux,3
haste,hâte,2
hateful,odieux,1
having,ayant,1
hazard,danger,8
heads,têtes,1
health,santé,1
heard,entendu,1
heart,cœur,1
heaven,paradis,22
heavy,lourd,1
hector,Hector,1
heels,talons,1
hence,Par conséquent,22
henceforth,désormais,1
hereafter,"ci-après, par la suite",22
herself,se,82
highness,altesse,82
holds,tient,2
hollow,creux,1
honest,honnête,1
horse,cheval,2
hostess,hôtesse,82
hours,heures,1
house,maison,1
hubert,Hubert,1
humble,humble,1
humour,humour,1
hundred,cent,3
husband,mari,5
ignorant,ignorant,1
image,image,2
includes,comprend,2
indeed,En effet,2
infinite,infini,20
innocent,innocent,3
instant,instant,1
intend,avoir l'intention,2
intent,intention,2
issue,problème,1
itself,lui-même,1
jealous,jaloux,1
jewel,bijou,1
judge,juge,2
judgment,jugement,2
julia,Julia,1
justice,Justice,1
keeps,garde,3
kindness,la gentillesse,82
kingdom,Royaume,1
kings,rois,2
knave,fripon,1
kneel,s'agenouiller,1
knees,les genoux,1
knife,couteau,9
knight,Chevalier,2
knock,frappe,1
knowing,connaissance,4
knowledge,connaissance,4
known,connu,10
knows,sait,1
labour,la main d'oeuvre,1
ladies,Dames,1
ladyship,Madame,1
lands,terres,2
large,grand,2
laugh,rire,3
launce,lancer,1
lawful,légitime,1
learn,apprendre,5
learned,appris,7
least,moins,1
leave,laisser,82
leisure,loisir,1
leontes,leontes,1
letter,lettre,1
liberty,liberté,1
library,bibliothèque,1
liege,Liege,1
lieutenant,lieutenant,1
light,lumière,1
limbs,membres,1
little,peu,5
lives,vies,1
living,vivant,2
longer,plus long,1
looks,regards,1
loose,ample,1
lords,seigneurs,82
lordship,seigneurie,82
lorenzo,Lorenzo,1
lovely,charmant,1
lovers,les amoureux,1
loves,aime,2
loving,aimant,1
lucentio,Lucentio,3
machine,machine,1
madness,la démence,1
maiden,jeune fille,4
maids,servantes,82
maintain,maintenir,20
majesty,majesté,1
makes,fait du,1
making,fabrication,1
malice,malice,1
manner,manière,20
march,Mars,1
marcius,Marcius,1
marcus,Marcus,1
margaret,margaret,1
maria,maria,5
mariana,Mariana,5
marriage,mariage,5
marry,marier,5
master,Maître,2
match,rencontre,2
matter,matière,2
meaning,sens,82
means,veux dire,1
meant,signifiait,20
measure,mesure,5
meeting,réunion,20
membership,adhésion,1
memory,Mémoire,1
merchant,marchande,1
mercy,pitié,1
merit,mérite,2
merry,joyeux,1
messenger,Messager,1
midnight,minuit,10
might,pourrait,2
mighty,puissant,1
milan,Milan,1
minds,esprits,2
minister,ministre,20
miranda,Miranda,1
mirth,gaieté,1
mischief,sottises,82
misery,misère,1
mistake,erreur,1
mistress,maîtresse,82
modest,modeste,2
money,argent,2
monster,monstre,1
month,mois,1
morning,Matin,1
morrow,demain,1
mortal,mortel,2
mother,mère,1
motion,mouvement,1
mouth,bouche,1
mowbray,mowbray,1
murder,meurtre,1
murther,aller plus loin,3
music,la musique,1
myself,moi même,1
naked,nu,10
names,des noms,1
native,originaire de,1
natural,Naturel,1
nature,la nature,1
needs,Besoins,1
neighbour,voisine,1
neither,ni,20
never,jamais,1
niece,nièce,20
night,nuit,10
noble,noble,1
noise,bruit,1
nothing,rien,1
nought,néant,1
number,nombre,4
nurse,infirmière,1
oaths,serments,82
obedience,obéissance,1
oberon,Oberon,1
object,objet,1
occasion,occasion,1
offence,infraction,2
offend,offenser,82
offer,offre,1
office,Bureau,9
often,souvent,1
oliver,oliver,1
opinion,opinion,20
order,ordre,1
orlando,orlando,1
other,autre,3
others,autres,3
ourselves,nous-mêmes,1
outward,vers l'extérieur,6
oxford,Oxford,1
padua,Padoue,1
pains,des douleurs,11
painted,peint,2
painter,peintre,2
palace,palais,1
pandarus,Pandarus,1
paper,papier,1
pardon,pardon,22
paris,Paris,22
parolles,parolles,22
parted,séparé,22
particular,particulier,22
partly,partiellement,22
parts,les pièces,2
party,fête,1
passage,passage,1
passion,la passion,1
patience,la patience,1
patient,patient,2
paulina,paulina,1
peace,paix,1
pedro,pedro,1
people,gens,1
perceive,apercevoir,5
percy,Percy,1
perfect,parfait,22
perhaps,peut-être,5
peril,péril,1
permission,autorisation,1
person,la personne,1
personal,personnel,2
phebe,phebe,1
philip,Philippe,1
picture,image,2
piece,pièce,2
pistol,pistolet,1
place,endroit,1
plague,peste,1
plain,plaine,1
plead,plaider,1
please,S'il vous plaît,1
pleasure,plaisir,2
pluck,cueillir,1
poins,poins,1
point,point,1
poison,poison,1
policy,politique,1
polixenes,polixènes,1
pompey,pompey,1
porter,porter,5
possible,possible,1
posthumus,posthume,1
pound,livre,4
power,Puissance,1
practice,entraine toi,3
praise,louange,8
prayers,prières,1
precious,précieux,1
prepare,préparer,22
presence,présence,82
present,présent,82
pretty,jolie,1
pride,fierté,2
priest,prêtre,3
prince,prince,1
prison,prison,7
private,privé,1
prize,prix,1
proceed,procéder,1
proclaim,proclamer,2
profit,profit,1
prohibited,interdit,1
project,projet,1
prologue,prologue,1
promise,promettre,1
proof,preuve,1
proper,correct,1
protector,protecteur,1
protest,manifestation,20
proud,fier,2
prove,prouver,1
provided,à condition de,1
public,Publique,1
purpose,objectif,1
purse,bourse,82
quality,qualité,1
quarrel,querelle,1
queen,reine,1
question,question,1
quick,rapide,2
quiet,silencieux,1
quite,assez,82
quoth,quoth,1
raise,élever,1
ransom,une rançon,1
rascal,coquin,2
rather,plutôt,1
readable,lisible,1
ready,prêt,3
realm,domaine,1
reason,raison,1
receive,recevoir,5
regard,qui concerne,1
reign,règne,2
reignier,règne,2
remain,rester,1
remedy,remède,1
remember,rappelles toi,1
render,rendre,5
repair,réparation,22
repent,se repentir,82
report,rapport,1
reputation,réputation,1
request,demande,3
respect,le respect,1
return,revenir,20
revenge,vengeance,2
reverence,révérence,1
revolt,révolte,4
right,droite,1
rivers,rivières,1
rogue,coquin,2
rotten,pourri,1
rough,rugueux,1
round,rond,2
royal,Royal,1
sacred,sacré,1
safety,sécurité,1
saint,Saint,1
salerio,salerio,1
satisfied,satisfait,1
saying,en disant,1
scarce,rare,1
scene,scène,1
scorn,mépris,2
search,chercher,2
season,saison,1
second,seconde,82
secret,secret,82
seeing,voyant,1
senate,sénat,2
senator,sénateur,2
sense,sens,82
sentence,phrase,82
servant,serviteur,82
serve,servir,82
service,un service,82
seven,Sept,82
several,nombreuses,82
shadow,ombre,82
shake,secouer,82
shall,doit,1
shame,la honte,1
shape,forme,1
sharp,tranchant,1
shepherd,berger,1
shine,éclat,1
shore,rive,1
short,court,2
shortly,prochainement,1
should,devrait,1
shows,montre,1
sickness,maladie,1
sight,vue,1
silence,silence,1
silver,argent,1
simple,Facile,1
since,depuis,1
single,Célibataire,1
sirrah,sirrah,1
sister,sœur,1
skill,compétence,1
slain,tué,1
slander,calomnie,20
slave,esclave,1
sleep,sommeil,1
slender,mince,1
small,petit,1
smell,odeur,1
smile,sourire,3
soldier,soldat,3
solemn,solennel,3
somerset,somerset,82
something,quelque chose,82
sometime,parfois,22
sooner,plus tôt,1
soothsayer,devin,2
sorrow,chagrin,1
sorry,Pardon,22
sought,recherché,1
souls,âmes,1
sound,du son,1
sovereign,souverain,1
spare,de rechange,8
speak,parler,22
speaks,parle,22
special,spécial,1
speech,discours,7
speed,la vitesse,82
spend,dépenser,82
spirit,esprit,2
spite,dépit,1
spoke,parlait,22
sport,sport,1
spring,printemps,1
staff,Personnel,2
stain,tache,1
stand,supporter,5
stars,étoiles,1
state,Etat,1
steal,voler,4
steel,acier,1
steward,intendant,1
still,encore,2
stomach,estomac,1
stone,calcul,1
stood,se tenait,82
store,boutique,1
storm,orage,1
story,récit,1
straight,tout droit,3
strange,étrange,8
street,rue,2
strength,force,2
strike,la grève,1
stroke,accident vasculaire cérébral,1
strong,fort,3
struck,frappé,1
study,étude,1
stuff,des trucs,1
subject,matière,2
substance,substance,1
success,Succès,1
sudden,soudain,1
suddenly,tout à coup,3
suffer,souffrir,1
suffolk,suffolk,1
summer,été,1
supper,souper,1
surely,sûrement,1
surrey,Surrey,5
suspect,suspect,1
swear,jurer,1
sweat,transpiration,1
sweet,sucré,1
swift,rapide,2
sword,épée,1
swore,juré,2
sworn,juré,2
syracuse,Syracuse,82
table,table,1
tailor,tailleur,11
taken,pris,7
talbot,talbot,1
tarry,goudronneux,1
taste,goût,1
taught,enseigné,82
teach,enseigner,82
tears,larmes,3
tedious,fastidieux,1
teeth,les dents,1
tells,raconte,1
tempest,tempête,1
tender,soumissionner,1
terms,termes,1
thank,remercier,1
their,leur,11
themselves,se,82
there,Là,3
therefore,par conséquent,22
therein,la bride,1
these,celles-ci,1
thief,voleur,11
thing,chose,82
think,pense,82
third,troisième,2
thomas,Thomas,1
those,ceux,1
though,bien que,2
thought,pensée,1
thrive,prospérer,1
throat,gorge,1
throne,trône,1
through,par,22
throw,jeter,1
thrust,poussée,1
thunder,tonnerre,1
times,fois,4
title,Titre,1
together,ensemble,82
tongue,langue,1
tonight,ce soir,1
touch,toucher,1
toward,vers,6
tower,la tour,3
train,train,3
traitor,traitre,1
tread,bande de roulement,1
treason,trahison,1
treasure,Trésor,1
trial,procès,1
tribunes,tribunes,1
trick,tour,3
triumph,triomphe,1
trouble,difficulté,1
truly,vraiment,2
trumpet,trompette,1
trust,confiance,1
truth,vérité,2
turns,se tourne,82
twice,deux fois,4
tyrant,tyran,1
ulysses,Ulysse,82
uncle,oncle,1
under,sous,2
understand,comprendre,5
undertake,entreprendre,5
undone,défait,1
unhappy,malheureux,3
unknown,inconnue,10
unless,sauf si,2
until,jusqu'à,1
unworthy,indigne,1
utter,prononcer,1
valentine,Valentin,1
valiant,vaillant,1
valour,valeur,11
vantage,avantage,3
vengeance,vengeance,2
venice,venise,82
version,version,6
victory,la victoire,1
villain,scélérat,1
viola,alto,1
violent,violent,1
virtue,vertu,4
visit,visite,1
voice,voix,1
walls,des murs,1
warlike,guerrier,1
warrant,mandat,1
waste,déchets,1
watch,regarder,3
water,eau,9
wealth,richesse,82
weapons,armes,3
weary,se lasser,82
weeds,mauvaises herbes,82
weeping,larmes,3
weight,poids,1
welcome,Bienvenue,10
wench,jeune fille,4
whence,d'où,4
where,où,4
wherein,où,4
whether,qu'il s'agisse,82
which,lequel,1
while,tandis que,1
whither,où,4
whole,entier,1
whore,putain,1
whose,dont,1
widow,veuve,1
willing,prêt,3
window,la fenêtre,1
wings,ailes,1
winter,hiver,1
wisdom,sagesse,82
witch,sorcière,1
withal,avec,1
within,dans,2
without,sans pour autant,1
witness,témoin,1
wives,épouses,82
wolsey,Wolsey,82
woman,femme,1
wonder,merveille,1
works,travaux,1
world,monde,1
worse,pire,1
worship,culte,1
worth,vaut,1
would,aurait,1
wound,blessure,5
wounded,blessés,1
wrath,colère,2
wretch,misérable,1
write,écrire,3
written,écrit,1
wrong,faux,2
wrought,forgé,1
yield,rendement,1
yonder,là-bas,3
young,Jeune,4
yours,le tiens,1
yourself,toi même,1
youth,jeunesse,82
